None,FURY,ALEX_SNYDER,ANNA_NAZAROV,CREE_HOWARD,RIOT,ROHRE_TITCOMB,SARAH_GRIFFITH,SCANDAL,OCTAVIA_PAYNE,SANDY_JORGENSEN,SHOWDOWN,CARA_CROUCH,HEIST,GEORGIA_BOSSCHER,ALL,WG13
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
Unnamed: 0,538.940594059,524.75,679.666666667,532.25,697.171717172,613.666666667,675.75,729.043010753,713.75,586.333333333,756.108695652,742.5,693.5,387.0,550.920168067,618.484848485
Number,24.0396039604,4.0,33.0,13.0,21.6464646465,4.0,6.0,24.4838709677,9.0,37.0,27.4782608696,8.25,31.2083333333,19.0,23.7121848739,13.4545454545
Goal,5.29702970297,3.0,4.33333333333,10.0,4.35353535354,0.333333333333,10.0,4.4623655914,4.0,11.0,3.98913043478,4.75,2.54166666667,7.66666666667,3.49264705882,5.9696969697
GPG,0.581879616533,0.345734126984,0.518518518518,1.0744047619,0.545434503768,0.037037037037,1.24404761905,0.545314900153,0.505952380953,1.3955026455,0.499158902692,0.595238095238,0.423611111111,0.833333333332,0.466048919568,0.709535834536
Assist,5.31683168317,20.25,5.0,4.25,4.32323232323,3.66666666667,9.25,4.44086021505,15.5,7.0,3.95652173913,18.25,2.58333333333,8.33333333333,3.48109243697,10.3636363636
APG,0.584217350306,2.16716269841,0.52380952381,0.452380952381,0.541786916787,0.412037037037,1.21825396825,0.542584058713,1.90277777778,0.896164021163,0.495233781918,2.26636904762,0.430555555555,0.902777777779,0.464646275177,1.21915584416
Block,2.62,6.0,4.0,2.5,2.15789473684,3.0,4.33333333333,3.07246376812,10.0,11.5,2.19117647059,4.0,1.83333333333,6.0,1.95966386555,5.47619047619
BPG,0.332380952381,0.777777777778,0.555555555555,0.325396825397,0.273052422723,0.340277777778,0.551587301587,0.374971244537,1.19576719577,1.51587301587,0.288602941177,0.529761904762,0.305555555555,1.0,0.273009203681,0.707671957672
Turn,4.44,10.5,6.0,4.5,4.57894736842,10.0,5.66666666667,5.5652173913,19.0,6.0,5.83823529412,16.6666666667,5.25,15.0,4.94285714286,10.1428571429
TPG,0.568888888889,1.30952380952,0.777777777778,0.563492063493,0.574822472848,1.125,0.695105820106,0.662985967334,2.291005291,0.746031746032,0.759716386555,2.13095238095,0.875,2.5,0.699493130586,1.28070672713
Games,9.10891089109,9.0,9.33333333333,9.0,7.9696969697,8.33333333333,8.0,8.20430107527,8.25,8.0,7.98913043478,8.0,6.0,8.66666666667,7.43592436975,8.45454545455
Standing,1.52475247525,1.5,1.66666666667,1.5,2.28282828283,2.0,2.25,3.27956989247,3.25,3.66666666667,4.05434782609,4.0,12.0,5.0,6.74894957983,2.72727272727
Spirit,0.762966584158,0.76915625,0.749541666667,0.76915625,0.822125,0.797125,0.81934375,0.778817204301,0.7778125,0.8,0.805327445652,0.80821875,0.834,0.754,0.790847912262,0.78675
wg13,0.128712871287,1.0,1.0,1.0,0.0808080808081,1.0,1.0,0.0752688172043,1.0,1.0,0.0434782608696,1.0,0.0416666666667,1.0,0.0409663865546,1.0
wugc16_tryouts,0.425742574257,1.0,1.0,0.0,0.323232323232,1.0,1.0,0.215053763441,1.0,1.0,0.0869565217391,0.0,0.0833333333333,1.0,0.176470588235,0.757575757576
Team_WUGC16,0.257425742574,1.0,1.0,0.0,0.191919191919,1.0,1.0,0.150537634409,1.0,1.0,0.0434782608696,0.0,0.0833333333333,1.0,0.0966386554622,0.757575757576
fury,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.106092436975,0.393939393939
riot,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103991596639,0.242424242424
year,2012.26732673,2012.25,2012.66666667,2012.25,2012.29292929,2012.0,2012.25,2012.2688172,2012.25,2012.0,2012.26086957,2012.25,2013.0,2012.0,2012.12710084,2012.24242424
