country,beer,spirit,wine,liters,continent,cont_AS,cont_EU,cont_NA,cont_OC,cont_SA
Afghanistan,0.0,0,0,0.0,AS,1.0,0.0,0.0,0.0,0.0
Albania,89.0,132,54,4.9,EU,0.0,1.0,0.0,0.0,0.0
Algeria,25.0,0,14,0.7,AF,0.0,0.0,0.0,0.0,0.0
Andorra,245.0,138,312,12.4,EU,0.0,1.0,0.0,0.0,0.0
Angola,217.0,57,45,5.9,AF,0.0,0.0,0.0,0.0,0.0
Antigua & Barbuda,102.0,128,45,4.9,NA,0.0,0.0,1.0,0.0,0.0
Argentina,193.0,25,221,8.3,SA,0.0,0.0,0.0,0.0,1.0
Armenia,21.0,179,11,3.8,EU,0.0,1.0,0.0,0.0,0.0
Australia,261.0,72,212,10.4,OC,0.0,0.0,0.0,1.0,0.0
Austria,279.0,75,191,9.7,EU,0.0,1.0,0.0,0.0,0.0
Azerbaijan,21.0,46,5,1.3,EU,0.0,1.0,0.0,0.0,0.0
Bahamas,122.0,176,51,6.3,NA,0.0,0.0,1.0,0.0,0.0
Bahrain,42.0,63,7,2.0,AS,1.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,0,0,0.0,AS,1.0,0.0,0.0,0.0,0.0
Barbados,143.0,173,36,6.3,NA,0.0,0.0,1.0,0.0,0.0
Belarus,142.0,373,42,14.4,EU,0.0,1.0,0.0,0.0,0.0
Belgium,295.0,84,212,10.5,EU,0.0,1.0,0.0,0.0,0.0
Belize,263.0,114,8,6.8,NA,0.0,0.0,1.0,0.0,0.0
Benin,34.0,4,13,1.1,AF,0.0,0.0,0.0,0.0,0.0
Bhutan,23.0,0,0,0.4,AS,1.0,0.0,0.0,0.0,0.0
Bolivia,167.0,41,8,3.8,SA,0.0,0.0,0.0,0.0,1.0
Bosnia-Herzegovina,76.0,173,8,4.6,EU,0.0,1.0,0.0,0.0,0.0
Botswana,173.0,35,35,5.4,AF,0.0,0.0,0.0,0.0,0.0
Brazil,245.0,145,16,7.2,SA,0.0,0.0,0.0,0.0,1.0
Brunei,31.0,2,1,0.6,AS,1.0,0.0,0.0,0.0,0.0
Bulgaria,231.0,252,94,10.3,EU,0.0,1.0,0.0,0.0,0.0
Burkina Faso,25.0,7,7,4.3,AF,0.0,0.0,0.0,0.0,0.0
Burundi,88.0,0,0,6.3,AF,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,37.0,1,7,4.0,AF,0.0,0.0,0.0,0.0,0.0
Cabo Verde,144.0,56,16,4.0,AF,0.0,0.0,0.0,0.0,0.0
Cambodia,57.0,65,1,2.2,AS,1.0,0.0,0.0,0.0,0.0
Cameroon,147.0,1,4,5.8,AF,0.0,0.0,0.0,0.0,0.0
Canada,240.0,122,100,8.2,NA,0.0,0.0,1.0,0.0,0.0
Central African Republic,17.0,2,1,1.8,AF,0.0,0.0,0.0,0.0,0.0
Chad,15.0,1,1,0.4,AF,0.0,0.0,0.0,0.0,0.0
Chile,130.0,124,172,7.6,SA,0.0,0.0,0.0,0.0,1.0
China,79.0,192,8,5.0,AS,1.0,0.0,0.0,0.0,0.0
